File: reggae2.wav, Predicted class: hiphop
File: jazz1.wav, Predicted class: reggae
File: blues2.wav, Predicted class: classical
File: pop4.wav, Predicted class: pop
File: country3.wav, Predicted class: disco
File: jazz4.wav, Predicted class: jazz
File: jazz3.wav, Predicted class: hiphop
File: reggae4.wav, Predicted class: reggae
File: reggae1.wav, Predicted class: reggae
File: country2.wav, Predicted class: jazz
File: pop2.wav, Predicted class: rock
File: classical3.wav, Predicted class: jazz
File: metal2.wav, Predicted class: metal
File: blues3.wav, Predicted class: country
File: metal1.wav, Predicted class: reggae
File: classical2.wav, Predicted class: classical
File: reggae3.wav, Predicted class: reggae
File: jazz6.wav, Predicted class: classical
File: classical7.wav, Predicted class: classical
File: pop1.wav, Predicted class: pop
File: classical1.wav, Predicted class: jazz
File: country1.wav, Predicted class: blues
File: classical6.wav, Predicted class: classical
File: metal3.wav, Predicted class: metal
File: blues1.wav, Predicted class: jazz
File: jazz2.wav, Predicted class: jazz
File: classical5.wav, Predicted class: classical
File: jazz5.wav, Predicted class: hiphop
File: jazz7.wav, Predicted class: jazz
File: jazz8.wav, Predicted class: jazz
File: classical4.wav, Predicted class: classical
File: pop3.wav, Predicted class: reggae
